symbol,count,probability
йк,568,0.0007649471
кт,567,0.0007636004
рт,564,0.0007595602
уи,560,0.0007541732
зо,553,0.0007447460
вт,545,0.0007339721
кв,540,0.0007272384
йв,533,0.0007178113
лд,533,0.0007178113
чу,532,0.0007164645
пл,532,0.0007164645
яж,530,0.0007137711
тк,529,0.0007124243
тя,526,0.0007083841
лч,523,0.0007043439
пу,509,0.0006854896
вз,509,0.0006854896
ьм,508,0.0006841428
ою,502,0.0006760624
оу,500,0.0006733689
ца,499,0.0006720222
мк,498,0.0006706755
ья,495,0.0006666352
фи,494,0.0006652885
ды,493,0.0006639418
ке,490,0.0006599016
ьа,484,0.0006518211
юб,483,0.0006504744
ге,482,0.0006491277
йи,482,0.0006491277
вд,475,0.0006397005
нп,474,0.0006383537
мя,470,0.0006329668
аф,463,0.0006235396
кс,462,0.0006221929
зы,460,0.0006194994
ып,460,0.0006194994
ыш,457,0.0006154592
ея,457,0.0006154592
йт,454,0.0006114190
иу,450,0.0006060320
ют,449,0.0006046853
еу,448,0.0006033386
ьт,446,0.0006006451
йо,437,0.0005885244
нв,435,0.0005858310
зя,434,0.0005844842
чн,431,0.0005804440
иж,431,0.0005804440
ау,424,0.0005710169
иш,419,0.0005642832
ьб,419,0.0005642832
шл,418,0.0005629364
нц,415,0.0005588962
тп,407,0.0005481223
сд,405,0.0005454288
яч,400,0.0005386951
бя,400,0.0005386951
хи,398,0.0005360017
дс,390,0.0005252278
ьш,389,0.0005238810
ью,387,0.0005211876
яг,387,0.0005211876
зг,385,0.0005184941
цу,385,0.0005184941
юд,383,0.0005158006
сч,381,0.0005131071
оф,379,0.0005104137
кб,378,0.0005090669
ющ,376,0.0005063734
рд,371,0.0004996397
кл,371,0.0004996397
ыи,369,0.0004969463
шк,369,0.0004969463
дь,368,0.0004955995
ьч,366,0.0004929061
яб,366,0.0004929061
нк,364,0.0004902126
ух,364,0.0004902126
хс,362,0.0004875191
мч,360,0.0004848256
дя,357,0.0004807854
рв,356,0.0004794387
ьд,355,0.0004780919
ык,354,0.0004767452
уо,350,0.0004713583
рс,349,0.0004700115
фр,347,0.0004673180
яе,345,0.0004646246
оэ,344,0.0004632778
лж,341,0.0004592376
хв,339,0.0004565441
шн,338,0.0004551974
йб,332,0.0004471170
йм,331,0.0004457702
рж,328,0.0004417300
кп,320,0.0004309561
тд,320,0.0004309561
зи,318,0.0004282626
кк,317,0.0004269159
юс,316,0.0004255692
вв,316,0.0004255692
мд,313,0.0004215290
ьз,312,0.0004201822
хн,312,0.0004201822
ыр,307,0.0004134485
вм,301,0.0004053681
тч,301,0.0004053681
дт,300,0.0004040214
рк,299,0.0004026746
сы,295,0.0003972877
йр,295,0.0003972877
лт,293,0.0003945942
нб,293,0.0003945942
зе,290,0.0003905540
хп,287,0.0003865138
мб,285,0.0003838203
тл,283,0.0003811268
лг,281,0.0003784333
цо,279,0.0003757399
вг,279,0.0003757399
ср,278,0.0003743931
тт,278,0.0003743931
ию,275,0.0003703529
бн,275,0.0003703529
шу,275,0.0003703529
ею,274,0.0003690062
зм,272,0.0003663127
яа,271,0.0003649660
рг,271,0.0003649660
лб,269,0.0003622725
ец,267,0.0003595790
дк,267,0.0003595790
шо,266,0.0003582323
мг,264,0.0003555388
пя,262,0.0003528453
йг,262,0.0003528453
нч,262,0.0003528453
аэ,258,0.0003474584
йч,257,0.0003461116
вэ,256,0.0003447649
аа,255,0.0003434182
шь,254,0.0003420714
ща,253,0.0003407247
уе,250,0.0003366845
иа,249,0.0003353377
юи,249,0.0003353377
ыо,249,0.0003353377
гн,246,0.0003312975
юн,245,0.0003299508
ыд,245,0.0003299508
зс,237,0.0003191769
еэ,236,0.0003178301
ыч,236,0.0003178301
ьг,236,0.0003178301
юп,235,0.0003164834
зу,235,0.0003164834
юв,234,0.0003151367
