symbol,count,probability
кш,9,0.0000050657
жл,9,0.0000050657
нл,9,0.0000050657
мщ,9,0.0000050657
зц,9,0.0000050657
бш,8,0.0000045029
вщ,8,0.0000045029
гш,8,0.0000045029
хх,8,0.0000045029
фю,8,0.0000045029
бж,7,0.0000039400
сё,7,0.0000039400
ё␠,7,0.0000039400
фф,7,0.0000039400
гм,7,0.0000039400
тэ,7,0.0000039400
ыщ,7,0.0000039400
фк,7,0.0000039400
дф,7,0.0000039400
мз,7,0.0000039400
лф,6,0.0000033771
йб,6,0.0000033771
эх,6,0.0000033771
лв,6,0.0000033771
км,6,0.0000033771
дз,5,0.0000028143
эд,5,0.0000028143
гт,5,0.0000028143
лм,5,0.0000028143
лш,5,0.0000028143
пщ,5,0.0000028143
оа,4,0.0000022514
шц,4,0.0000022514
йф,4,0.0000022514
цл,4,0.0000022514
шр,4,0.0000022514
лз,4,0.0000022514
кь,4,0.0000022514
що,4,0.0000022514
жр,4,0.0000022514
аэ,3,0.0000016886
иу,3,0.0000016886
тж,3,0.0000016886
хъ,3,0.0000016886
дг,3,0.0000016886
бб,3,0.0000016886
уу,3,0.0000016886
ьф,3,0.0000016886
рэ,3,0.0000016886
щр,3,0.0000016886
тш,3,0.0000016886
чв,3,0.0000016886
юг,3,0.0000016886
аа,3,0.0000016886
нм,2,0.0000011257
нё,2,0.0000011257
ёв,2,0.0000011257
пэ,2,0.0000011257
чэ,2,0.0000011257
лщ,2,0.0000011257
эф,2,0.0000011257
юи,2,0.0000011257
йщ,2,0.0000011257
фм,2,0.0000011257
юе,2,0.0000011257
вю,2,0.0000011257
гж,2,0.0000011257
шф,1,0.0000005629
яф,1,0.0000005629
ьп,1,0.0000005629
лъ,1,0.0000005629
жц,1,0.0000005629
ръ,1,0.0000005629
␠ъ,1,0.0000005629
␠ь,1,0.0000005629
жэ,1,0.0000005629
лэ,1,0.0000005629
нэ,1,0.0000005629
мэ,1,0.0000005629
сэ,1,0.0000005629
дэ,1,0.0000005629
вэ,1,0.0000005629
кё,1,0.0000005629
ёр,1,0.0000005629
пг,1,0.0000005629
эц,1,0.0000005629
эш,1,0.0000005629
хп,1,0.0000005629
ьр,1,0.0000005629
юя,1,0.0000005629
цц,1,0.0000005629
фн,1,0.0000005629
мх,1,0.0000005629
ьэ,1,0.0000005629
юф,1,0.0000005629
фя,1,0.0000005629
юа,1,0.0000005629
вж,1,0.0000005629
фч,1,0.0000005629
бз,1,0.0000005629
ця,1,0.0000005629
хд,1,0.0000005629
мв,1,0.0000005629
кх,1,0.0000005629
яу,1,0.0000005629
щя,1,0.0000005629
