symbol,count,probability
ес,3133,0.0035268663
ой,3132,0.0035257406
до,3128,0.0035212377
ас,3126,0.0035189863
ль,3061,0.0034458148
ег,3019,0.0033985348
мо,2929,0.0032972204
ти,2901,0.0032657004
х␠,2839,0.0031959060
ит,2797,0.0031486260
вс,2770,0.0031182316
ав,2760,0.0031069745
ю␠,2760,0.0031069745
об,2743,0.0030878373
че,2724,0.0030664487
ин,2718,0.0030596944
ми,2692,0.0030304258
ны,2668,0.0030034087
ся,2666,0.0030011572
ви,2605,0.0029324886
с␠,2596,0.0029223572
сь,2578,0.0029020943
ня,2559,0.0028807057
ам,2492,0.0028052828
им,2476,0.0027872713
ис,2472,0.0027827684
ар,2461,0.0027703856
ме,2456,0.0027647570
␠а,2416,0.0027197284
␠э,2415,0.0027186027
ру,2399,0.0027005912
со,2363,0.0026600655
ма,2341,0.0026352997
␠л,2329,0.0026217911
нн,2316,0.0026071568
тр,2302,0.0025913968
ыл,2257,0.0025407396
вы,2214,0.0024923339
му,2208,0.0024855796
ая,2169,0.0024416767
ди,2167,0.0024394253
ей,2162,0.0024337967
пе,2158,0.0024292938
ед,2152,0.0024225395
сл,2129,0.0023966481
тв,2111,0.0023763852
ив,2089,0.0023516195
ну,2060,0.0023189737
хо,2054,0.0023122194
ки,2048,0.0023054651
ие,2029,0.0022840765
ше,2029,0.0022840765
эт,2026,0.0022806994
ое,1999,0.0022503051
бо,1924,0.0021658764
др,1873,0.0021084649
ад,1855,0.0020882021
бе,1800,0.0020262877
ча,1784,0.0020082763
␠ж,1772,0.0019947677
св,1646,0.0018529275
ик,1619,0.0018225332
кн,1594,0.0017943903
уд,1567,0.0017639960
из,1537,0.0017302246
ши,1514,0.0017043331
сп,1504,0.0016930759
ля,1497,0.0016851959
зн,1447,0.0016289102
ду,1446,0.0016277845
ок,1444,0.0016255330
ож,1422,0.0016007673
ее,1401,0.0015771273
ид,1400,0.0015760015
ры,1398,0.0015737501
кр,1395,0.0015703730
ия,1393,0.0015681215
их,1373,0.0015456072
ый,1369,0.0015411044
дн,1348,0.0015174643
гл,1302,0.0014656814
␠я,1301,0.0014645557
са,1293,0.0014555500
ку,1284,0.0014454186
ты,1279,0.0014397900
ту,1278,0.0014386643
р␠,1261,0.0014195271
ят,1254,0.0014116471
чи,1241,0.0013970128
си,1237,0.0013925099
ша,1232,0.0013868814
уж,1218,0.0013711213
ым,1197,0.0013474813
ут,1196,0.0013463556
ул,1166,0.0013125841
лс,1164,0.0013103327
ий,1138,0.0012810641
оч,1137,0.0012799384
па,1126,0.0012675555
ев,1124,0.0012653041
жа,1117,0.0012574241
яз,1113,0.0012529212
жи,1112,0.0012517955
ще,1092,0.0012292812
ье,1080,0.0012157726
ич,1077,0.0012123955
ус,1069,0.0012033898
ез,1068,0.0012022640
з␠,1066,0.0012000126
вн,1052,0.0011842526
лу,1047,0.0011786240
аш,1047,0.0011786240
уг,1038,0.0011684926
␠х,1036,0.0011662411
бу,1035,0.0011651154
жн,1034,0.0011639897
ош,1033,0.0011628640
гр,1029,0.0011583611
лы,1000,0.0011257154
еб,999,0.0011245897
бр,981,0.0011043268
нд,975,0.0010975725
мн,969,0.0010908182
д␠,968,0.0010896925
аж,965,0.0010863154
иц,961,0.0010818125
ьн,931,0.0010480410
ба,927,0.0010435382
оп,921,0.0010367839
ьк,919,0.0010345324
вш,912,0.0010266524
ые,911,0.0010255267
см,908,0.0010221496
лю,906,0.0010198981
ря,900,0.0010131439
ум,889,0.0010007610
ыв,888,0.0009996353
ах,881,0.0009917553
ек,875,0.0009850010
нь,872,0.0009816238
ех,853,0.0009602352
ых,852,0.0009591095
еж,848,0.0009546067
тн,847,0.0009534809
гд,847,0.0009534809
ха,837,0.0009422238
вл,835,0.0009399724
це,827,0.0009309666
дв,826,0.0009298409
рь,824,0.0009275895
ую,806,0.0009073266
ял,802,0.0009028237
ьс,795,0.0008949437
еп,793,0.0008926923
еч,780,0.0008780580
га,776,0.0008735551
оз,766,0.0008622980
ае,757,0.0008521666
ап,733,0.0008251494
ув,729,0.0008206465
зь,727,0.0008183951
тс,720,0.0008105151
ай,717,0.0008071379
аю,716,0.0008060122
␠ш,713,0.0008026351
аг,705,0.0007936294
ои,704,0.0007925036
бл,687,0.0007733665
г␠,686,0.0007722408
сн,685,0.0007711150
пи,678,0.0007632350
ук,678,0.0007632350
уш,676,0.0007609836
уч,664,0.0007474750
ву,662,0.0007452236
зв,660,0.0007429722
су,656,0.0007384693
ыс,648,0.0007294636
би,640,0.0007204579
